0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:43 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:33 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:33 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:34 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:34 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:34 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:34 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:34 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:35 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:12:35 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:17:36 -0300] "GET /alarmeAndroid2/Teste2.xhtml HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:17:40 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:17:41 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:17:42 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:17:42 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:17:42 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:17:42 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:17:45 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:12 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:13 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:13 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:14 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:14 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:14 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:14 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:54 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:55 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:56 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:56 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:19:56 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:20:52 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 512
